item_class,model,bone,surface,mass,linear_damping,angular_damping,volume,centre_of_mass,inertia,held_bone,points,game_volume,game_centre_of_mass,hull_frame
weapon_mag7,mag7/weapon_shot_mag7.gltf,weapon_offset,,4.0,0.0,0.0,298.9984,0.0 6.48 3.546,42.2287 37.0028 5.8342 0.0 0.0 -2.99,-0.1931 8.2296 3.2938 -0.5 -0.5 -0.5 0.5,1.0 8.488 18.247;0.0 0.231 0.085;0.0 7.743 18.927;1.0 0.998 -0.538;1.0 1.008 -2.456;0.0 0.246 -3.076;-1.0 7.784 -6.133;0.0 9.784 -7.055;-1.0 9.784 -6.055;0.0 7.726 -7.135;-1.0 1.008 -2.456;1.0 7.784 -6.133;1.0 9.784 -6.055;-1.0 0.998 -0.538;1.0 10.168 -5.671;0.0 11.02 -5.819;-1.0 10.168 -5.671;0.0 9.552 18.994;-1.0 8.753 18.257;1.0 8.753 18.257;-1.0 8.488 18.247,299.0023,0.0 6.6794 2.2013,model
weapon_mac10,mac10/weapon_smg_mac10.gltf,weapon_offset,,3.5,0.0,0.0,206.8744,0.0 0.1477 6.489,17.6249 9.4613 8.7745 0.0 0.0 0.4905,-0.193 4.2075 8.0985 -0.5 -0.5 -0.5 0.5,-1.0 -6.333 5.412;0.0 -4.029 11.31;0.0 -7.032 6.126;-1.0 -3.351 10.558;1.0 -6.333 5.412;1.0 -3.351 10.558;0.0 -7.047 4.712;0.0 5.358 0.234;-1.0 4.338 10.822;-1.0 4.497 0.942;0.0 5.185 10.936;1.0 4.338 10.822;1.0 4.497 0.942;1.0 3.098 12.294;0.0 3.227 13.263;-1.0 3.098 12.294;-1.0 1.214 0.809;0.0 0.61 0.042;1.0 1.214 0.809,206.8749,0.0 0.1685 6.7526,model
weapon_mp9,mp9/weapon_smg_mp9.gltf,weapon_offset,,3.5,0.0,0.0,293.5196,0.0 2.1867 2.1648,35.5545 30.7994 5.3681 0.0 0.0 -0.4031,-0.1931 6.4106 7.6858 -0.5 -0.5 -0.5 0.5,0.0 5.607 -8.82;1.0 5.915 9.607;0.0 6.879 9.59;1.0 4.687 -8.174;-1.0 5.915 9.607;-1.0 4.687 -8.174;-1.0 0.997 -8.498;0.0 0.343 -9.282;1.0 0.997 -8.498;1.0 5.106 12.325;0.0 5.853 13.036;0.0 4.412 13.038;-1.0 5.106 12.325;0.0 0.129 11.312;-1.0 0.835 10.604;0.0 -3.568 4.324;-1.0 -2.861 4.923;1.0 -2.861 4.923;1.0 -2.861 4.995;1.0 0.835 10.604;0.0 -3.567 5.703;-1.0 -2.861 4.995,293.5247,0.0 1.8058 4.1121,model
weapon_mp7,mp7/weapon_smg_mp7.gltf,weapon_offset,,3.5,0.0,0.0,223.5723,0.0 -0.2593 -0.1938,19.7155 13.605 6.7226 0.0 0.0 -0.6749,0.0 1.2767 -0.6717 -0.5 -0.5 -0.5 0.5,1.0 -1.583 -6.696;0.0 -6.791 -1.506;1.0 -5.985 -1.024;0.0 -2.023 -7.65;-1.0 3.683 4.126;0.0 1.33 8.717;-1.0 1.215 7.555;0.0 4.683 4.06;-1.0 -1.583 -6.696;0.0 2.253 -7.633;-1.0 1.971 -6.682;-1.0 -5.985 -1.024;1.0 3.683 4.126;0.0 4.683 -4.111;1.0 3.683 -4.2;1.0 1.971 -6.682;-1.0 3.683 -4.2;-1.0 -2.528 4.702;0.0 -3.375 5.132;1.0 -2.528 4.702;1.0 1.215 7.555;1.0 -5.98 -0.996;0.0 -6.533 -0.082;-1.0 -5.98 -0.996,223.5752,0.0 -0.7007 -0.3958,model
weapon_mp5sd,mp5sd/weapon_smg_mp5sd.gltf,weapon_offset,,3.5,0.0,0.0,384.731,0.0 1.4606 7.7876,49.5512 43.4124 6.7308 0.0 0.0 -3.3728,-0.193 3.5075 3.7112 -0.5 -0.5 -0.5 0.5,0.0 2.524 23.062;0.0 4.685 23.067;1.0 3.539 22.003;-1.0 3.539 22.003;-1.0 -3.962 8.06;0.0 -3.313 -0.412;-1.0 -1.891 -0.391;0.0 -5.438 8.262;1.0 -3.962 8.06;-1.0 0.213 -3.888;0.0 5.292 -4.73;-1.0 3.895 -3.682;0.0 -0.519 -5.054;1.0 0.213 -3.888;1.0 -1.891 -0.391;1.0 3.895 -3.682;-1.0 5.474 14.473;0.0 6.944 14.261;1.0 5.474 14.473,384.7371,0.0 1.3006 6.9268,model
weapon_ump45,ump45/weapon_smg_ump45.gltf,weapon_offset,,3.5,0.0,0.0,451.5926,0.0 0.9683 5.8182,54.1659 46.0626 8.7252 0.0 0.0 0.9465,-0.1931 3.8425 6.303 -0.5 -0.5 -0.5 0.5,0.0 -6.611 12.357;-1.0 3.565 18.281;0.0 3.528 19.323;-1.0 -6.043 11.681;1.0 3.565 18.281;0.0 6.471 16.972;1.0 5.477 16.753;1.0 -6.043 11.681;-1.0 2.98 -8.711;0.0 6.447 2.931;-1.0 5.453 2.67;0.0 3.745 -9.502;0.0 -0.106 -9.339;-1.0 0.627 -8.612;1.0 2.98 -8.711;1.0 0.627 -8.612;1.0 5.453 2.67;-1.0 5.477 16.753;-1.0 -6.084 11.507;0.0 -6.913 11.067;1.0 -6.084 11.507,451.5986,0.0 0.8815 6.2358,model
weapon_p90,p90/weapon_smg_p90.gltf,weapon_offset,,3.5,0.0,0.0,236.4375,0.0 4.2121 6.3851,29.9473 26.3424 4.2159 0.0 0.0 -2.5196,-0.1931 5.7644 10.615 -0.5 -0.5 -0.5 0.5,-1.0 0.848 10.787;0.0 0.776 -3.942;-1.0 1.504 -3.211;0.0 0.068 11.153;-1.0 4.979 -3.209;0.0 5.734 -3.939;-1.0 4.316 15.787;0.0 4.042 16.882;0.0 8.991 13.449;-1.0 7.995 13.235;1.0 0.848 10.787;1.0 4.316 15.787;1.0 1.504 -3.211;1.0 4.979 -3.209;1.0 7.995 13.235;0.0 8.977 9.596;1.0 7.981 9.316;-1.0 7.981 9.316,236.4404,0.0 4.6575 7.1452,model
weapon_bizon,bizon/weapon_smg_bizon.gltf,weapon_offset,,3.5,0.0,0.0,340.5226,0.0 0.6206 2.6445,68.0684 64.8234 3.8513 0.0 0.0 -5.6484,-0.1931 3.0819 2.8189 -0.5 -0.5 -0.5 0.5,-1.0 -3.205 -0.48;0.0 -0.707 16.17;0.0 -4.148 -0.126;-1.0 0.27 15.978;-1.0 2.4 18.07;0.0 2.323 19.144;-1.0 -1.586 -11.702;0.0 2.128 -12.734;-1.0 1.512 -11.945;0.0 -2.38 -12.382;1.0 -1.586 -11.702;1.0 -3.205 -0.48;1.0 1.512 -11.945;1.0 4.072 16.469;0.0 5.071 16.513;1.0 2.4 18.07;-1.0 4.072 16.469;1.0 0.27 15.978;1.0 2.582 -5.467;0.0 3.752 -2.913;-1.0 2.582 -5.467,340.5227,0.0 0.8633 3.1201,model
weapon_galilar,galilar/weapon_rif_galilar.gltf,weapon_offset,,4.0,0.0,0.0,447.6764,0.0 1.2669 8.1188,58.2605 53.0167 6.0041 0.0 0.0 -2.7674,-0.193 4.026 5.8679 -0.5 -0.5 -0.5 0.5,1.1 -0.479 -5.603;0.0 -5.07 9.693;1.1 -4.33 9.687;0.0 -1.073 -6.176;-1.1 3.16 24.053;-1.1 -4.33 9.687;0.0 2.702 24.602;-1.1 -0.479 -5.603;0.0 3.467 -6.231;-1.1 2.929 -5.644;1.1 2.929 -5.644;0.0 5.861 3.487;1.1 5.138 3.325;-1.1 5.138 3.325;0.0 5.501 20.384;-1.1 4.778 20.229;1.1 4.778 20.229;0.0 3.762 24.561;1.1 3.186 24.052;1.1 3.16 24.053;-1.1 3.186 24.052,447.6837,0.0 2.0912 10.0251,model
weapon_famas,famas/weapon_rif_famas.gltf,weapon_offset,,4.0,0.0,0.0,581.0451,0.0 1.9618 4.6072,75.0835 67.6593 8.1925 0.0 0.0 -5.8839,-0.1931 3.5075 7.5993 -0.5 -0.5 -0.5 0.5,1.1 2.976 23.479;0.0 -5.687 -1.293;0.0 2.526 24.01;1.1 -5.01 -1.127;-1.1 0.056 -9.67;0.0 5.217 -10.465;-1.1 4.668 -9.81;0.0 -0.347 -10.297;-1.1 -5.01 -1.127;1.1 0.056 -9.67;0.0 3.572 24.008;-1.1 6.213 17.296;0.0 6.934 17.491;-1.1 3.023 23.479;1.1 6.629 2.13;1.1 4.668 -9.81;0.0 7.346 2.501;1.1 6.213 17.296;-1.1 6.629 2.13;-1.1 2.976 23.479;1.1 3.023 23.479,581.058,0.0 2.6987 6.5482,model
weapon_ak47,ak47/weapon_rif_ak47.gltf,weapon_offset,,4.0,0.0,0.0,389.3433,0.0 -0.0745 6.2389,89.076 83.1996 6.2322 0.0 0.0 -4.6871,-0.1931 2.9819 2.9689 -0.5 -0.5 -0.5 0.5,-0.75 -5.857 9.239;0.0 -2.548 -11.905;-0.75 -1.972 -11.291;0.0 -6.543 9.202;0.75 3.65 -0.294;0.0 4.507 24.993;0.0 4.334 -0.048;0.75 3.823 24.673;-0.75 3.65 -0.294;-0.75 3.823 24.673;0.75 1.54 -11.125;0.75 -1.972 -11.291;0.0 2.067 -11.686;-0.75 1.54 -11.125;-0.75 2.271 25.437;0.0 2.001 26.227;0.75 2.271 25.437;0.75 -5.857 9.239,389.3459,0.0 0.5961 6.1148,model
weapon_m4a1,m4a4/weapon_rif_m4a4.gltf,weapon_offset,,4.0,0.0,0.0,586.041,-0.0018 10.3597 17.7215,84.046 77.4812 7.3287 -0.0065 0.0047 -5.8685,-0.1931 12.4036 18.2349 -0.5 -0.5 -0.5 0.5,1.1 15.137 32.338;0.0 13.861 1.436;1.101 13.21 2.0;0.0 15.84 32.608;-1.098 7.312 1.956;-1.101 13.21 2.0;0.0 6.814 1.385;1.098 7.375 1.957;1.098 12.506 36.223;1.096 4.521 19.808;-1.1 15.137 32.338;0.019 3.758 20.016;0.081 6.764 1.426;-1.096 4.389 19.826;0.0 11.978 36.771;-1.098 12.434 36.247;0.06 11.925 36.741;-1.098 12.489 36.247;0.0 13.011 36.783;1.071 12.502 36.261,586.038,0.0067 10.7087 21.2185,model
weapon_m4a1_silencer,m4a1_silencer/weapon_rif_m4a1_silencer.gltf,weapon_offset,,4.0,0.0,0.0,731.2904,0.0 2.857 6.9438,123.7742 117.3051 7.237 0.0 0.0 -4.1691,0.0 4.7233 3.4696 -0.5 -0.5 -0.5 0.5,1.1 4.669 32.289;0.0 -4.255 5.51;0.0 4.179 32.817;1.1 -3.593 5.54;1.1 1.225 -13.005;0.0 0.71 -13.601;-1.1 -3.593 5.54;-1.1 4.669 32.289;1.1 5.101 -13.073;0.0 5.611 -13.687;0.0 8.382 3.525;1.1 7.717 3.179;-1.1 1.225 -13.005;-1.1 5.101 -13.073;-1.1 7.717 3.179;-1.1 5.275 32.293;0.0 5.924 32.827;1.1 5.275 32.293,731.2982,0.0 3.4078 7.8802,model
weapon_sg556,sg556/weapon_rif_sg556.gltf,weapon_offset,,4.5,0.0,0.0,493.4979,-0.2184 0.527 1.2784,70.9876 64.6654 6.9412 0.0 0.0 -2.5067,-0.1931 3.4866 6.8571 -0.5 -0.5 -0.5 0.5,0.782 -5.203 0.571;-0.218 -2.765 -13.591;-0.218 -6.158 0.633;0.782 -1.982 -12.926;-1.218 -5.203 0.571;-1.218 -1.982 -12.926;-0.218 2.767 20.523;0.782 5.337 1.253;0.782 1.773 20.46;-0.218 6.337 1.276;-0.218 1.713 21.459;-1.218 1.773 20.46;0.782 1.962 -13.345;-0.218 2.632 -14.164;-1.218 1.962 -13.345;-0.218 6.265 -3.414;-1.218 5.262 -3.578;-0.218 0.774 20.401;0.782 5.262 -3.578;-1.218 5.337 1.253,493.4967,-0.2184 1.2933 0.8999,model
weapon_aug,aug/weapon_rif_aug.gltf,weapon_offset,,4.5,0.0,0.0,530.5777,0.1921 1.3554 0.3658,52.1145 44.7766 8.2596 -0.1492 -0.3644 -4.5929,-0.213 4.4703 3.5482 -0.5 -0.5 -0.5 0.5,1.141 -5.011 -3.712;0.0 -2.375 -11.918;0.0 -6.098 -4.004;0.929 -1.661 -11.316;-1.04 -5.108 -3.738;-1.093 -1.535 -11.209;-0.904 6.883 3.65;0.0 4.36 -13.065;0.0 7.704 3.786;-1.074 3.608 -12.101;-0.901 -1.393 8.6;-0.799 3.396 16.438;0.0 -1.967 9.286;0.473 3.467 17.133;0.0 3.142 17.454;0.785 -1.467 8.688;0.918 3.295 16.066;1.293 -4.166 -1.421;1.135 3.387 -12.016;2.075 4.372 6.288;2.04 4.634 7.124;-0.504 3.488 17.112;0.0 3.862 17.484;1.038 3.633 -12.133;1.026 6.747 3.499;0.028 7.701 3.894;0.005 3.868 17.48,530.5805,0.2434 1.7323 2.865,model
weapon_m249,m249/weapon_mach_m249.gltf,weapon_offset,,6.0,0.0,0.0,1949.5574,0.2038 1.3051 6.2451,96.0935 91.7308 10.8727 0.1861 0.058 -4.558,-0.1911 4.506 3.4123 -0.5 -0.5 -0.5 0.5,-1.014 4.094 30.972;0.246 7.242 23.252;-0.471 4.232 32.405;0.014 7.521 21.321;-0.971 6.586 21.4;0.0 3.373 31.71;4.528 -4.619 7.416;-3.972 -4.619 7.416;1.309 3.985 28.881;0.624 6.818 23.428;-0.01 3.772 32.478;1.154 3.7 29.948;4.302 2.916 2.656;0.004 7.761 -1.356;4.514 2.64 6.581;4.504 2.68 3.757;4.517 2.477 7.212;-1.158 3.345 -14.1;-3.304 4.326 6.917;-4.018 -1.352 4.469;-3.219 4.615 6.608;-2.814 5.034 3.583;-4.053 -4.619 7.243;-1.33 3.674 29.466;-4.178 -4.619 5.849;4.539 -4.573 7.48;4.505 -4.619 4.416;0.935 -0.015 -15.105;4.417 -4.532 3.942;0.92 3.373 -15.489;4.529 -4.619 4.543;-0.007 4.581 -15.626;-0.007 7.751 -1.466;-0.938 3.336 -15.485;-3.884 -4.54 3.988;-3.951 -4.619 4.416;-0.938 -0.034 -15.103;-0.008 -1.041 -14.989;0.01 -1.041 -14.989;4.538 -4.619 7.395,1949.5688,0.2466 1.3939 7.1864,model
weapon_negev,negev/weapon_mach_negev.gltf,weapon_offset,,6.0,0.0,0.0,1480.5299,-0.1167 1.5224 4.2684,81.167 76.0777 9.9247 0.2279 -0.7777 -1.1495,-0.1364 4.8203 2.9447 -0.5 -0.5 -0.5 0.5,-3.942 -2.324 2.493;-1.052 4.529 -15.293;-2.236 4.732 -8.264;-1.052 0.658 -14.955;1.043 6.826 17.563;-2.18 5.14 21.348;-1.626 7.401 13.006;-0.598 4.76 24.2;1.495 5.483 23.196;4.121 -2.51 12.504;-1.36 -4.183 8.805;3.868 -1.732 15.392;3.531 -4.198 6.709;-0.463 -0.366 -14.865;0.374 5.666 -15.392;1.012 5.338 -15.364;1.143 0.359 -14.929;0.046 -0.366 -14.865;-1.048 7.448 2.35;1.49 5.356 -10.883;1.002 6.925 11.409;-1.591 7.507 5.362;-0.492 4.185 23.747;-3.404 -4.19 7.886;3.219 0.245 18.544;-4.068 -2.839 4.113;-4.067 -2.814 8.111;-3.637 -4.193 7.396;-3.637 -4.206 5.557;-3.426 -4.211 4.781;3.325 -4.211 4.781;3.253 -4.084 4.13,1480.5299,-0.3423 1.1292 4.0182,model
weapon_ssg08,ssg08/weapon_snip_ssg08.gltf,weapon_offset,,5.0,0.0,0.0,945.9105,-0.3367 2.99 7.6174,148.1716 142.7685 6.7333 0.0574 -0.4282 -10.6998,-0.2715 4.1885 3.6309 -0.5 -0.5 -0.5 0.5,1.0 7.795 15.784;0.0 5.227 36.748;0.0 8.785 15.619;1.0 4.421 35.819;1.0 -1.998 0.134;0.0 -3.15 -13.806;0.0 -2.995 0.066;1.0 -2.145 -13.09;1.0 7.334 2.107;0.0 8.33 2.128;1.0 2.895 34.06;1.0 3.427 -13.774;0.0 1.71 32.694;0.524 3.789 -14.219;0.0 4.445 -13.667;-0.566 -2.592 -14.35;-1.004 7.327 2.092;-0.985 7.81 15.781;-0.993 3.635 -12.958;-0.978 4.439 35.84;-0.935 2.817 33.97;-0.736 -2.261 0.116;-0.931 -2.224 -13.98;-1.363 -1.756 -10.576;-1.368 2.129 26.226;-2.728 3.729 7.815;-1.007 4.477 35.445;-1.052 3.531 -12.925;-2.919 3.588 1.761;-2.949 3.766 2.714;-2.938 3.81 3.416,945.9105,-0.5138 2.9064 6.6774,model
