class,field,value
weapon_glock,m_flRecoveryTimeStand,0.2
weapon_glock,m_flRecoveryTimeStandFinal,0.33
weapon_glock,m_flSpread,0.002|0.015
weapon_glock,m_flTimeBetweenBurstShots,0.05
weapon_glock,m_flZoomTime0,0.0
weapon_glock,m_flZoomTime1,0.0
weapon_glock,m_flZoomTime2,0.0
weapon_glock,m_iDefaultClip1,-1
weapon_glock,m_iDefaultClip2,-1
weapon_glock,m_iMaxClip1,20
weapon_glock,m_iMaxClip2,0
weapon_glock,m_iRumbleEffect,1
weapon_glock,m_iWeight,5
weapon_glock,m_nCrosshairDeltaDistance,3
weapon_glock,m_nCrosshairMinDistance,8
weapon_glock,m_nDamage,30
weapon_glock,m_nKillAward,300
weapon_glock,m_nNumBullets,1
weapon_glock,m_nPrice,200
weapon_glock,m_nPrimaryAmmoType,BULLET_PLAYER_9MM
weapon_glock,m_nPrimaryReserveAmmoMax,3
weapon_glock,m_nRecoilSeed,4484
weapon_glock,m_nRecoveryTransitionEndBullet,5
weapon_glock,m_nRecoveryTransitionStartBullet,0
weapon_glock,m_nSecondaryReserveAmmoMax,0
weapon_glock,m_nSpreadSeed,0
weapon_glock,m_nTracerFrequency,1|1
weapon_glock,m_nZoomFOV1,90
weapon_glock,m_nZoomFOV2,90
weapon_glock,m_nZoomLevels,0
weapon_glock,m_szAnimSkeleton,animation/skeletons/weapons/glock18.vnmskel
weapon_glock,m_szName,weapon_glock
weapon_glock,m_szTracerParticle,particles/weapons/cs_weapon_fx/weapon_tracers_pistol.vpcf
weapon_glock,m_szWorldModel,weapons/models/glock18/weapon_pist_glock18.vmdl
weapon_glock,m_vecMuzzlePos0,21.775|-2.805|-1.975
weapon_hkp2000,_base,weapon_hkp2000_prefab
weapon_hkp2000,_class,weapon_hkp2000
weapon_hkp2000,_not_pickable,1
weapon_hkp2000,m_GearSlot,GEAR_SLOT_PISTOL
weapon_hkp2000,m_GearSlotPosition,0
weapon_hkp2000,m_WeaponType,WEAPONTYPE_PISTOL
weapon_hkp2000,m_bAllowFlipping,true
weapon_hkp2000,m_bAutoSwitchFrom,true
weapon_hkp2000,m_bAutoSwitchTo,true
weapon_hkp2000,m_bBuiltRightHanded,true
weapon_hkp2000,m_bCannotShootUnderwater,false
weapon_hkp2000,m_bHasBurstMode,false
weapon_hkp2000,m_bHideViewModelWhenZoomed,false
weapon_hkp2000,m_bIsFullAuto,false
weapon_hkp2000,m_bIsRevolver,false
weapon_hkp2000,m_bMeleeWeapon,false
weapon_hkp2000,m_bReserveAmmoAsClips,true
weapon_hkp2000,m_bUnzoomsAfterShot,false
weapon_hkp2000,m_eSilencerType,WEAPONSILENCER_NONE
weapon_hkp2000,m_flArmorRatio,1.01
weapon_hkp2000,m_flAttackMovespeedFactor,1.0
weapon_hkp2000,m_flCycleTime,0.17
weapon_hkp2000,m_flCycleTimeWhenInBurstMode,0.0
weapon_hkp2000,m_flDeployDuration,1.0
weapon_hkp2000,m_flDisallowAttackAfterReloadStartDuration,2.266667
weapon_hkp2000,m_flFlinchVelocityModifierLarge,0.5
weapon_hkp2000,m_flFlinchVelocityModifierSmall,0.65
weapon_hkp2000,m_flHeadshotMultiplier,4.0
weapon_hkp2000,m_flInaccuracyAltSoundThreshold,0.0
weapon_hkp2000,m_flInaccuracyCrouch,0.00368|0.00368
weapon_hkp2000,m_flInaccuracyFire,0.05|0.01315
weapon_hkp2000,m_flInaccuracyJump,0.09448|0.09448
weapon_hkp2000,m_flInaccuracyJumpApex,0.0
weapon_hkp2000,m_flInaccuracyJumpInitial,0.0966
weapon_hkp2000,m_flInaccuracyLadder,0.13832|0.1199
weapon_hkp2000,m_flInaccuracyLand,0.000191|0.000198
weapon_hkp2000,m_flInaccuracyMove,0.013|0.01387
weapon_hkp2000,m_flInaccuracyPitchShift,0.0
weapon_hkp2000,m_flInaccuracyReload,0.0
weapon_hkp2000,m_flInaccuracyStand,0.0049|0.0049
weapon_hkp2000,m_flMaxSpeed,240.0|240.0
weapon_hkp2000,m_flPenetration,1.0
weapon_hkp2000,m_flRange,4096.0
weapon_hkp2000,m_flRangeModifier,0.91
weapon_hkp2000,m_flRecoilAngle,0.0|0.0
weapon_hkp2000,m_flRecoilAngleVariance,0.0|0.0
weapon_hkp2000,m_flRecoilMagnitude,26.0|26.0
weapon_hkp2000,m_flRecoilMagnitudeVariance,0.0|0.0
weapon_hkp2000,m_flRecoveryTimeCrouch,0.291277
weapon_hkp2000,m_flRecoveryTimeCrouchFinal,0.291277
weapon_hkp2000,m_flRecoveryTimeStand,0.349532
weapon_hkp2000,m_flRecoveryTimeStandFinal,0.349532
weapon_hkp2000,m_flSpread,0.002|0.0015
weapon_hkp2000,m_flTimeBetweenBurstShots,0.0
weapon_hkp2000,m_flZoomTime0,0.0
weapon_hkp2000,m_flZoomTime1,0.0
weapon_hkp2000,m_flZoomTime2,0.0
weapon_hkp2000,m_iDefaultClip1,-1
weapon_hkp2000,m_iDefaultClip2,-1
weapon_hkp2000,m_iMaxClip1,13
weapon_hkp2000,m_iMaxClip2,0
weapon_hkp2000,m_iRumbleEffect,1
weapon_hkp2000,m_iWeight,5
weapon_hkp2000,m_nCrosshairDeltaDistance,3
weapon_hkp2000,m_nCrosshairMinDistance,8
weapon_hkp2000,m_nDamage,35
weapon_hkp2000,m_nKillAward,300
weapon_hkp2000,m_nNumBullets,1
weapon_hkp2000,m_nPrice,200
weapon_hkp2000,m_nPrimaryAmmoType,BULLET_PLAYER_357SIG
weapon_hkp2000,m_nPrimaryReserveAmmoMax,4
weapon_hkp2000,m_nRecoilSeed,5426
weapon_hkp2000,m_nRecoveryTransitionEndBullet,10
weapon_hkp2000,m_nRecoveryTransitionStartBullet,3
weapon_hkp2000,m_nSecondaryReserveAmmoMax,0
weapon_hkp2000,m_nSpreadSeed,0
weapon_hkp2000,m_nTracerFrequency,1
weapon_hkp2000,m_nZoomFOV1,90
weapon_hkp2000,m_nZoomFOV2,90
weapon_hkp2000,m_nZoomLevels,0
weapon_hkp2000,m_szAnimSkeleton,animation/skeletons/weapons/hkp2000.vnmskel
weapon_hkp2000,m_szName,weapon_hkp2000
weapon_hkp2000,m_szTracerParticle,particles/weapons/cs_weapon_fx/weapon_tracers_pistol.vpcf
weapon_hkp2000,m_szWorldModel,weapons/models/hkp2000/weapon_pist_hkp2000.vmdl
weapon_hkp2000,m_vecMuzzlePos0,21.32|-2.801|-1.704
weapon_usp_silencer,_base,weapon_usp_silencer_prefab
weapon_usp_silencer,_class,weapon_hkp2000
weapon_usp_silencer,_not_pickable,1
weapon_usp_silencer,m_GearSlot,GEAR_SLOT_PISTOL
weapon_usp_silencer,m_GearSlotPosition,0
weapon_usp_silencer,m_WeaponType,WEAPONTYPE_PISTOL
weapon_usp_silencer,m_bAllowFlipping,true
weapon_usp_silencer,m_bAutoSwitchFrom,true
weapon_usp_silencer,m_bAutoSwitchTo,true
weapon_usp_silencer,m_bBuiltRightHanded,true
weapon_usp_silencer,m_bCannotShootUnderwater,false
weapon_usp_silencer,m_bHasBurstMode,false
weapon_usp_silencer,m_bHideViewModelWhenZoomed,false
weapon_usp_silencer,m_bIsFullAuto,false
weapon_usp_silencer,m_bIsRevolver,false
weapon_usp_silencer,m_bMeleeWeapon,false
weapon_usp_silencer,m_bReserveAmmoAsClips,true
weapon_usp_silencer,m_bUnzoomsAfterShot,false
weapon_usp_silencer,m_eSilencerType,WEAPONSILENCER_DETACHABLE
weapon_usp_silencer,m_flArmorRatio,1.01
weapon_usp_silencer,m_flAttackMovespeedFactor,1.0
weapon_usp_silencer,m_flCycleTime,0.17
weapon_usp_silencer,m_flCycleTimeWhenInBurstMode,0.0
weapon_usp_silencer,m_flDeployDuration,1.0
weapon_usp_silencer,m_flDisallowAttackAfterReloadStartDuration,2.2
weapon_usp_silencer,m_flFlinchVelocityModifierLarge,0.5
weapon_usp_silencer,m_flFlinchVelocityModifierSmall,0.65
weapon_usp_silencer,m_flHeadshotMultiplier,4.0
weapon_usp_silencer,m_flInaccuracyAltSoundThreshold,0.0
weapon_usp_silencer,m_flInaccuracyCrouch,0.00368|0.00368
weapon_usp_silencer,m_flInaccuracyFire,0.071|0.052
weapon_usp_silencer,m_flInaccuracyJump,0.09448|0.09448
weapon_usp_silencer,m_flInaccuracyJumpApex,0.0
weapon_usp_silencer,m_flInaccuracyJumpInitial,0.0966
weapon_usp_silencer,m_flInaccuracyLadder,0.13832|0.1199
weapon_usp_silencer,m_flInaccuracyLand,0.000191|0.000198
weapon_usp_silencer,m_flInaccuracyMove,0.01387|0.01387
weapon_usp_silencer,m_flInaccuracyPitchShift,0.0
weapon_usp_silencer,m_flInaccuracyReload,0.0
weapon_usp_silencer,m_flInaccuracyStand,0.0049|0.0049
weapon_usp_silencer,m_flMaxSpeed,240.0|240.0
weapon_usp_silencer,m_flPenetration,1.0
weapon_usp_silencer,m_flRange,4096.0
weapon_usp_silencer,m_flRangeModifier,0.91
weapon_usp_silencer,m_flRecoilAngle,0.0|0.0
weapon_usp_silencer,m_flRecoilAngleVariance,0.0|0.0
weapon_usp_silencer,m_flRecoilMagnitude,29.0|23.0
weapon_usp_silencer,m_flRecoilMagnitudeVariance,0.0|0.0
weapon_usp_silencer,m_flRecoveryTimeCrouch,0.291277
weapon_usp_silencer,m_flRecoveryTimeCrouchFinal,0.291277
weapon_usp_silencer,m_flRecoveryTimeStand,0.349532
weapon_usp_silencer,m_flRecoveryTimeStandFinal,0.349532
weapon_usp_silencer,m_flSpread,0.0025|0.0015
weapon_usp_silencer,m_flTimeBetweenBurstShots,0.0
weapon_usp_silencer,m_flZoomTime0,0.0
weapon_usp_silencer,m_flZoomTime1,0.0
weapon_usp_silencer,m_flZoomTime2,0.0
weapon_usp_silencer,m_iDefaultClip1,-1
weapon_usp_silencer,m_iDefaultClip2,-1
weapon_usp_silencer,m_iMaxClip1,12
weapon_usp_silencer,m_iMaxClip2,0
weapon_usp_silencer,m_iRumbleEffect,1
weapon_usp_silencer,m_iWeight,5
weapon_usp_silencer,m_nCrosshairDeltaDistance,3
weapon_usp_silencer,m_nCrosshairMinDistance,8
weapon_usp_silencer,m_nDamage,35
weapon_usp_silencer,m_nKillAward,300
weapon_usp_silencer,m_nNumBullets,1
weapon_usp_silencer,m_nPrice,200
weapon_usp_silencer,m_nPrimaryAmmoType,BULLET_PLAYER_357SIG_SMALL
weapon_usp_silencer,m_nPrimaryReserveAmmoMax,2
weapon_usp_silencer,m_nRecoilSeed,5426
weapon_usp_silencer,m_nRecoveryTransitionEndBullet,10
weapon_usp_silencer,m_nRecoveryTransitionStartBullet,3
weapon_usp_silencer,m_nSecondaryReserveAmmoMax,0
weapon_usp_silencer,m_nSpreadSeed,0
weapon_usp_silencer,m_nTracerFrequency,1|0
weapon_usp_silencer,m_nZoomFOV1,90
weapon_usp_silencer,m_nZoomFOV2,90
weapon_usp_silencer,m_nZoomLevels,0
weapon_usp_silencer,m_szAnimClass,weapon_usp_silencer
weapon_usp_silencer,m_szAnimSkeleton,animation/skeletons/weapons/usp_silencer.vnmskel
weapon_usp_silencer,m_szName,weapon_usp_silencer
weapon_usp_silencer,m_szTracerParticle,particles/weapons/cs_weapon_fx/weapon_tracers_pistol.vpcf
weapon_usp_silencer,m_szWorldModel,weapons/models/usp_silencer/weapon_pist_usp_silencer.vmdl
weapon_usp_silencer,m_vecMuzzlePos0,22.818|-2.801|-2.2
weapon_usp_silencer,m_vecMuzzlePos1,30.599|-2.8|-2.361
weapon_elite,_base,weapon_elite_prefab
weapon_elite,_class,weapon_elite
weapon_elite,_not_pickable,1
weapon_elite,m_GearSlot,GEAR_SLOT_PISTOL
weapon_elite,m_GearSlotPosition,0
weapon_elite,m_WeaponType,WEAPONTYPE_PISTOL
weapon_elite,m_bAllowFlipping,true
weapon_elite,m_bAutoSwitchFrom,true
weapon_elite,m_bAutoSwitchTo,true
weapon_elite,m_bBuiltRightHanded,true
weapon_elite,m_bCannotShootUnderwater,false
weapon_elite,m_bHasBurstMode,false
weapon_elite,m_bHideViewModelWhenZoomed,false
weapon_elite,m_bIsFullAuto,false
weapon_elite,m_bIsRevolver,false
weapon_elite,m_bMeleeWeapon,false
weapon_elite,m_bReserveAmmoAsClips,true
weapon_elite,m_bUnzoomsAfterShot,false
weapon_elite,m_eSilencerType,WEAPONSILENCER_NONE
weapon_elite,m_flArmorRatio,1.15
weapon_elite,m_flAttackMovespeedFactor,1.0
weapon_elite,m_flCycleTime,0.12
weapon_elite,m_flCycleTimeWhenInBurstMode,0.0
weapon_elite,m_flDeployDuration,1.0
weapon_elite,m_flDisallowAttackAfterReloadStartDuration,3.766667
weapon_elite,m_flFlinchVelocityModifierLarge,0.5
weapon_elite,m_flFlinchVelocityModifierSmall,0.65
weapon_elite,m_flHeadshotMultiplier,4.0
weapon_elite,m_flInaccuracyAltSoundThreshold,0.0
weapon_elite,m_flInaccuracyCrouch,0.00525|0.0075
weapon_elite,m_flInaccuracyFire,0.01116|0.01196
weapon_elite,m_flInaccuracyJump,0.15842|0.15842
weapon_elite,m_flInaccuracyJumpApex,0.0
weapon_elite,m_flInaccuracyJumpInitial,0.09586
weapon_elite,m_flInaccuracyLadder,0.102|0.102
weapon_elite,m_flInaccuracyLand,0.000255|0.000255
weapon_elite,m_flInaccuracyMove,0.01785|0.01785
weapon_elite,m_flInaccuracyPitchShift,0.0
weapon_elite,m_flInaccuracyReload,0.0
weapon_elite,m_flInaccuracyStand,0.007|0.01
weapon_elite,m_flMaxSpeed,240.0|240.0
weapon_elite,m_flPenetration,1.0
weapon_elite,m_flRange,4096.0
weapon_elite,m_flRangeModifier,0.79
weapon_elite,m_flRecoilAngle,0.0|0.0
weapon_elite,m_flRecoilAngleVariance,20.0|20.0
weapon_elite,m_flRecoilMagnitude,27.0|27.0
weapon_elite,m_flRecoilMagnitudeVariance,4.0|4.0
weapon_elite,m_flRecoveryTimeCrouch,0.437491
weapon_elite,m_flRecoveryTimeCrouchFinal,0.437491
weapon_elite,m_flRecoveryTimeStand,0.524989
weapon_elite,m_flRecoveryTimeStandFinal,0.524989
weapon_elite,m_flSpread,0.002|0.002
weapon_elite,m_flTimeBetweenBurstShots,0.0
weapon_elite,m_flZoomTime0,0.0
weapon_elite,m_flZoomTime1,0.0
weapon_elite,m_flZoomTime2,0.0
weapon_elite,m_iDefaultClip1,-1
weapon_elite,m_iDefaultClip2,-1
weapon_elite,m_iMaxClip1,30
weapon_elite,m_iMaxClip2,0
weapon_elite,m_iRumbleEffect,1
weapon_elite,m_iWeight,5
weapon_elite,m_nCrosshairDeltaDistance,3
weapon_elite,m_nCrosshairMinDistance,4
weapon_elite,m_nDamage,38
weapon_elite,m_nKillAward,300
weapon_elite,m_nNumBullets,1
weapon_elite,m_nPrice,300
weapon_elite,m_nPrimaryAmmoType,BULLET_PLAYER_9MM
weapon_elite,m_nPrimaryReserveAmmoMax,2
weapon_elite,m_nRecoilSeed,24563
weapon_elite,m_nRecoveryTransitionEndBullet,10
weapon_elite,m_nRecoveryTransitionStartBullet,3
weapon_elite,m_nSecondaryReserveAmmoMax,0
weapon_elite,m_nSpreadSeed,0
weapon_elite,m_nTracerFrequency,1
weapon_elite,m_nZoomFOV1,90
weapon_elite,m_nZoomFOV2,90
weapon_elite,m_nZoomLevels,0
weapon_elite,m_szAnimSkeleton,animation/skeletons/weapons/elite.vnmskel
weapon_elite,m_szName,weapon_elite
weapon_elite,m_szTracerParticle,particles/weapons/cs_weapon_fx/weapon_tracers_pistol.vpcf
weapon_elite,m_szWorldModel,weapons/models/elite/weapon_pist_elite.vmdl
weapon_elite,m_vecMuzzlePos0,23.752|-3.066|-1.754
weapon_elite,m_vecMuzzlePos1,23.496|3.105|-1.799
weapon_p250,_base,weapon_p250_prefab
weapon_p250,_class,weapon_p250
weapon_p250,_not_pickable,1
weapon_p250,m_GearSlot,GEAR_SLOT_PISTOL
weapon_p250,m_GearSlotPosition,0
weapon_p250,m_WeaponType,WEAPONTYPE_PISTOL
weapon_p250,m_bAllowFlipping,true
weapon_p250,m_bAutoSwitchFrom,true
weapon_p250,m_bAutoSwitchTo,true
weapon_p250,m_bBuiltRightHanded,true
weapon_p250,m_bCannotShootUnderwater,false
weapon_p250,m_bHasBurstMode,false
weapon_p250,m_bHideViewModelWhenZoomed,false
weapon_p250,m_bIsFullAuto,false
weapon_p250,m_bIsRevolver,false
weapon_p250,m_bMeleeWeapon,false
weapon_p250,m_bReserveAmmoAsClips,true
weapon_p250,m_bUnzoomsAfterShot,false
weapon_p250,m_eSilencerType,WEAPONSILENCER_NONE
weapon_p250,m_flArmorRatio,1.28
weapon_p250,m_flAttackMovespeedFactor,1.0
weapon_p250,m_flCycleTime,0.15|0.3
weapon_p250,m_flCycleTimeWhenInBurstMode,0.0
weapon_p250,m_flDeployDuration,1.0
weapon_p250,m_flDisallowAttackAfterReloadStartDuration,2.266667
weapon_p250,m_flFlinchVelocityModifierLarge,0.5
weapon_p250,m_flFlinchVelocityModifierSmall,0.65
weapon_p250,m_flHeadshotMultiplier,4.0
weapon_p250,m_flInaccuracyAltSoundThreshold,0.0
weapon_p250,m_flInaccuracyCrouch,0.00683|0.00683
weapon_p250,m_flInaccuracyFire,0.05245|0.05245
weapon_p250,m_flInaccuracyJump,0.09296|0.09296
weapon_p250,m_flInaccuracyJumpApex,0.0
weapon_p250,m_flInaccuracyJumpInitial,0.09662
weapon_p250,m_flInaccuracyLadder,0.138|0.138
weapon_p250,m_flInaccuracyLand,0.00019|0.00019
weapon_p250,m_flInaccuracyMove,0.02|0.01341
weapon_p250,m_flInaccuracyPitchShift,0.0
weapon_p250,m_flInaccuracyReload,0.0
weapon_p250,m_flInaccuracyStand,0.0091|0.0091
weapon_p250,m_flMaxSpeed,240.0|240.0
weapon_p250,m_flPenetration,1.0
weapon_p250,m_flRange,4096.0
weapon_p250,m_flRangeModifier,0.9
weapon_p250,m_flRecoilAngle,0.0|0.0
weapon_p250,m_flRecoilAngleVariance,10.0|10.0
weapon_p250,m_flRecoilMagnitude,26.0|26.0
weapon_p250,m_flRecoilMagnitudeVariance,3.0|3.0
weapon_p250,m_flRecoveryTimeCrouch,0.287823
weapon_p250,m_flRecoveryTimeCrouchFinal,0.287823
weapon_p250,m_flRecoveryTimeStand,0.345388
weapon_p250,m_flRecoveryTimeStandFinal,0.345388
weapon_p250,m_flSpread,0.002|0.002
weapon_p250,m_flTimeBetweenBurstShots,0.0
weapon_p250,m_flZoomTime0,0.0
weapon_p250,m_flZoomTime1,0.0
weapon_p250,m_flZoomTime2,0.0
weapon_p250,m_iDefaultClip1,-1
weapon_p250,m_iDefaultClip2,-1
weapon_p250,m_iMaxClip1,13
weapon_p250,m_iMaxClip2,0
weapon_p250,m_iRumbleEffect,1
weapon_p250,m_iWeight,5
weapon_p250,m_nCrosshairDeltaDistance,3
weapon_p250,m_nCrosshairMinDistance,8
weapon_p250,m_nDamage,38
weapon_p250,m_nKillAward,300
weapon_p250,m_nNumBullets,1
weapon_p250,m_nPrice,300
weapon_p250,m_nPrimaryAmmoType,BULLET_PLAYER_357SIG_P250
weapon_p250,m_nPrimaryReserveAmmoMax,3
weapon_p250,m_nRecoilSeed,9788
weapon_p250,m_nRecoveryTransitionEndBullet,10
weapon_p250,m_nRecoveryTransitionStartBullet,3
weapon_p250,m_nSecondaryReserveAmmoMax,0
weapon_p250,m_nSpreadSeed,0
weapon_p250,m_nTracerFrequency,1
weapon_p250,m_nZoomFOV1,90
weapon_p250,m_nZoomFOV2,90
weapon_p250,m_nZoomLevels,0
weapon_p250,m_szAnimSkeleton,animation/skeletons/weapons/p250.vnmskel
weapon_p250,m_szName,weapon_p250
weapon_p250,m_szTracerParticle,particles/weapons/cs_weapon_fx/weapon_tracers_pistol.vpcf
weapon_p250,m_szWorldModel,weapons/models/p250/weapon_pist_p250.vmdl
weapon_p250,m_vecMuzzlePos0,21.729|-2.82|-1.623
weapon_tec9,_base,weapon_tec9_prefab
weapon_tec9,_class,weapon_tec9
weapon_tec9,_not_pickable,1
weapon_tec9,m_GearSlot,GEAR_SLOT_PISTOL
weapon_tec9,m_GearSlotPosition,0
weapon_tec9,m_WeaponType,WEAPONTYPE_PISTOL
weapon_tec9,m_bAllowFlipping,true
weapon_tec9,m_bAutoSwitchFrom,true
weapon_tec9,m_bAutoSwitchTo,true
weapon_tec9,m_bBuiltRightHanded,true
weapon_tec9,m_bCannotShootUnderwater,false
weapon_tec9,m_bHasBurstMode,false
weapon_tec9,m_bHideViewModelWhenZoomed,false
weapon_tec9,m_bIsFullAuto,false
weapon_tec9,m_bIsRevolver,false
weapon_tec9,m_bMeleeWeapon,false
weapon_tec9,m_bReserveAmmoAsClips,true
weapon_tec9,m_bUnzoomsAfterShot,false
weapon_tec9,m_eSilencerType,WEAPONSILENCER_NONE
weapon_tec9,m_flArmorRatio,1.812
weapon_tec9,m_flAttackMovespeedFactor,1.0
weapon_tec9,m_flCycleTime,0.12
weapon_tec9,m_flCycleTimeWhenInBurstMode,0.0
weapon_tec9,m_flDeployDuration,1.0
weapon_tec9,m_flDisallowAttackAfterReloadStartDuration,2.566667
weapon_tec9,m_flFlinchVelocityModifierLarge,0.5
weapon_tec9,m_flFlinchVelocityModifierSmall,0.65
weapon_tec9,m_flHeadshotMultiplier,4.0
weapon_tec9,m_flInaccuracyAltSoundThreshold,0.0
weapon_tec9,m_flInaccuracyCrouch,0.00368|0.00727
weapon_tec9,m_flInaccuracyFire,0.045|0.03688
weapon_tec9,m_flInaccuracyJump,0.07978|0.07978
weapon_tec9,m_flInaccuracyJumpApex,0.0
weapon_tec9,m_flInaccuracyJumpInitial,0.07117
weapon_tec9,m_flInaccuracyLadder,0.1206|0.1206
weapon_tec9,m_flInaccuracyLand,0.000211|0.000211
weapon_tec9,m_flInaccuracyMove,0.00381|0.00381
weapon_tec9,m_flInaccuracyPitchShift,0.0
weapon_tec9,m_flInaccuracyReload,0.0
weapon_tec9,m_flInaccuracyStand,0.0049|0.00903
weapon_tec9,m_flMaxSpeed,240.0|240.0
weapon_tec9,m_flPenetration,1.0
weapon_tec9,m_flRange,4096.0
weapon_tec9,m_flRangeModifier,0.79
weapon_tec9,m_flRecoilAngle,0.0|0.0
weapon_tec9,m_flRecoilAngleVariance,60.0|60.0
weapon_tec9,m_flRecoilMagnitude,23.0|23.0
weapon_tec9,m_flRecoilMagnitudeVariance,3.0|3.0
weapon_tec9,m_flRecoveryTimeCrouch,0.315
weapon_tec9,m_flRecoveryTimeCrouchFinal,0.315
weapon_tec9,m_flRecoveryTimeStand,0.391
weapon_tec9,m_flRecoveryTimeStandFinal,0.391
weapon_tec9,m_flSpread,0.002|0.0018
weapon_tec9,m_flTimeBetweenBurstShots,0.0
weapon_tec9,m_flZoomTime0,0.0
weapon_tec9,m_flZoomTime1,0.0
weapon_tec9,m_flZoomTime2,0.0
weapon_tec9,m_iDefaultClip1,-1
weapon_tec9,m_iDefaultClip2,-1
weapon_tec9,m_iMaxClip1,18
weapon_tec9,m_iMaxClip2,0
weapon_tec9,m_iRumbleEffect,1
weapon_tec9,m_iWeight,6
weapon_tec9,m_nCrosshairDeltaDistance,3
weapon_tec9,m_nCrosshairMinDistance,8
weapon_tec9,m_nDamage,33
weapon_tec9,m_nKillAward,300
weapon_tec9,m_nNumBullets,1
weapon_tec9,m_nPrice,500
weapon_tec9,m_nPrimaryAmmoType,BULLET_PLAYER_9MM
weapon_tec9,m_nPrimaryReserveAmmoMax,3
weapon_tec9,m_nRecoilSeed,789
weapon_tec9,m_nRecoveryTransitionEndBullet,10
weapon_tec9,m_nRecoveryTransitionStartBullet,3
weapon_tec9,m_nSecondaryReserveAmmoMax,0
weapon_tec9,m_nSpreadSeed,0
weapon_tec9,m_nTracerFrequency,1
weapon_tec9,m_nZoomFOV1,90
weapon_tec9,m_nZoomFOV2,90
weapon_tec9,m_nZoomLevels,0
weapon_tec9,m_szAnimSkeleton,animation/skeletons/weapons/tec9.vnmskel
weapon_tec9,m_szName,weapon_tec9
weapon_tec9,m_szTracerParticle,particles/weapons/cs_weapon_fx/weapon_tracers_pistol.vpcf
weapon_tec9,m_szWorldModel,weapons/models/tec9/weapon_pist_tec9.vmdl
weapon_tec9,m_vecMuzzlePos0,27.931|-5.126|-3.697
weapon_fiveseven,_base,weapon_fiveseven_prefab
weapon_fiveseven,_class,weapon_fiveseven
weapon_fiveseven,_not_pickable,1
weapon_fiveseven,m_GearSlot,GEAR_SLOT_PISTOL
weapon_fiveseven,m_GearSlotPosition,0
weapon_fiveseven,m_WeaponType,WEAPONTYPE_PISTOL
weapon_fiveseven,m_bAllowFlipping,true
weapon_fiveseven,m_bAutoSwitchFrom,true
weapon_fiveseven,m_bAutoSwitchTo,true
weapon_fiveseven,m_bBuiltRightHanded,true
weapon_fiveseven,m_bCannotShootUnderwater,false
weapon_fiveseven,m_bHasBurstMode,false
weapon_fiveseven,m_bHideViewModelWhenZoomed,false
weapon_fiveseven,m_bIsFullAuto,false
weapon_fiveseven,m_bIsRevolver,false
weapon_fiveseven,m_bMeleeWeapon,false
weapon_fiveseven,m_bReserveAmmoAsClips,true
weapon_fiveseven,m_bUnzoomsAfterShot,false
weapon_fiveseven,m_eSilencerType,WEAPONSILENCER_NONE
