class,clip,duration,kind,event,at,for
weapon_hkp2000,lookat01,6.4333,ID,WPN_INSPECT_INTRO,0.0000,1.5333
weapon_hkp2000,lookat01,6.4333,Sound,Weapon.WeaponMove1,0.0667,0.0000
weapon_hkp2000,lookat01,6.4333,ID,WPN_INSPECT_LOOP,1.5333,1.5000
weapon_hkp2000,lookat01,6.4333,ID,WPN_INSPECT_OUTRO,3.0333,3.4000
weapon_hkp2000,lookat01,6.4333,Sound,Weapon.WeaponMove3,5.8333,0.0000
weapon_hkp2000,reload,2.2667,,,,
weapon_hkp2000,reload,2.2667,ID,WPN_RELOAD_SILENT,0.0000,1.4000
weapon_hkp2000,reload,2.2667,Sound,Weapon_hkp2000.Clipout,0.3667,0.0000
weapon_hkp2000,reload,2.2667,ID,WPN_DROP_MAG,0.4333,0.0000
weapon_hkp2000,reload,2.2667,Sound,Weapon_hkp2000.Clipin,0.8333,0.0000
weapon_hkp2000,reload,2.2667,Sound,Weapon_hkp2000.AddAmmo,0.9333,0.0000
weapon_hkp2000,reload,2.2667,ID,WPN_RELOAD_ADD_AMMO,0.9333,0.0000
weapon_hkp2000,reload,2.2667,Sound,Weapon_hkp2000.Slideback,1.4334,0.0000
weapon_hkp2000,reload,2.2667,Sound,Weapon_hkp2000.Sliderelease,1.6334,0.0000
weapon_hkp2000,reload_empty,2.2667,,,,
weapon_hkp2000,reload_empty,2.2667,ID,WPN_RELOAD_SILENT,0.0000,1.5667
weapon_hkp2000,reload_empty,2.2667,Sound,Weapon_hkp2000.Clipout,0.4333,0.0000
weapon_hkp2000,reload_empty,2.2667,ID,WPN_DROP_MAG,0.5000,0.0000
weapon_hkp2000,reload_empty,2.2667,Sound,Weapon_hkp2000.Clipin,1.1334,0.0000
weapon_hkp2000,reload_empty,2.2667,Sound,Weapon_hkp2000.AddAmmo,1.2000,0.0000
weapon_hkp2000,reload_empty,2.2667,ID,WPN_RELOAD_ADD_AMMO,1.2000,0.0000
weapon_hkp2000,reload_empty,2.2667,Sound,Weapon_hkp2000.Sliderelease,1.6000,0.0000
weapon_hkp2000,shoot1,0.4000,,,,
weapon_hkp2000,shoot1,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_hkp2000,shoot1,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.2000
weapon_hkp2000,shoot1,0.4000,Particle,fps_view,0.0000,0.0000
weapon_hkp2000,shoot_empty,0.4000,,,,
weapon_hkp2000,shoot_empty,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_hkp2000,shoot_empty,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.2000
weapon_hkp2000,shoot_empty,0.4000,Particle,fps_view,0.0000,0.0000
weapon_usp_silencer,draw,1.0000,,,,
weapon_usp_silencer,draw,1.0000,Sound,Weapon_USP.Draw,0.1000,0.7333
weapon_usp_silencer,draw,1.0000,Sound,Weapon_USP.Slideback_Q,0.3000,0.0000
weapon_usp_silencer,draw,1.0000,Sound,Weapon_USP.Sliderelease_Q,0.4667,0.0000
weapon_usp_silencer,draw_silenced,1.0000,,,,
weapon_usp_silencer,draw_silenced,1.0000,Sound,Weapon_USP.Draw,0.1000,0.7333
weapon_usp_silencer,draw_silenced,1.0000,Sound,Weapon_USP.Slideback_Q,0.3000,0.0000
weapon_usp_silencer,draw_silenced,1.0000,Sound,Weapon_USP.Sliderelease_Q,0.4667,0.0000
weapon_usp_silencer,idle,0.0000,,,,
weapon_usp_silencer,idle_slide_back,0.0000,,,,
weapon_usp_silencer,lookat01,6.4333,,,,
weapon_usp_silencer,lookat01,6.4333,ID,WPN_INSPECT_INTRO,0.0000,1.5333
weapon_usp_silencer,lookat01,6.4333,Sound,Weapon.WeaponMove1,0.0667,0.0000
weapon_usp_silencer,lookat01,6.4333,ID,WPN_INSPECT_LOOP,1.5333,1.5000
weapon_usp_silencer,lookat01,6.4333,ID,WPN_INSPECT_OUTRO,3.0333,3.4000
weapon_usp_silencer,lookat01,6.4333,Sound,Weapon.WeaponMove3,5.8333,0.0000
weapon_usp_silencer,reload,2.1667,,,,
weapon_usp_silencer,reload,2.1667,ID,WPN_RELOAD_SILENT,0.0000,0.9667
weapon_usp_silencer,reload,2.1667,Sound,Weapon_USP.Clipout,0.2333,0.0000
weapon_usp_silencer,reload,2.1667,ID,WPN_DROP_MAG,0.3000,0.0000
weapon_usp_silencer,reload,2.1667,Sound,Weapon_USP.Clipin,0.7000,0.0000
weapon_usp_silencer,reload,2.1667,Sound,Weapon_USP.AddAmmo,0.9000,0.0000
weapon_usp_silencer,reload,2.1667,ID,WPN_RELOAD_ADD_AMMO,0.9000,0.0000
weapon_usp_silencer,reload,2.1667,Sound,Weapon_USP.Slideback,1.3667,0.0000
weapon_usp_silencer,reload,2.1667,Sound,Weapon_USP.Sliderelease,1.5334,0.0000
weapon_usp_silencer,reload_empty,2.1667,,,,
weapon_usp_silencer,reload_empty,2.1667,ID,WPN_RELOAD_SILENT,0.0000,1.4000
weapon_usp_silencer,reload_empty,2.1667,Sound,Weapon_USP.Clipout,0.2333,0.0000
weapon_usp_silencer,reload_empty,2.1667,ID,WPN_DROP_MAG,0.3000,0.0000
weapon_usp_silencer,reload_empty,2.1667,Sound,Weapon_USP.Clipin,0.8000,0.0000
weapon_usp_silencer,reload_empty,2.1667,Sound,Weapon_USP.AddAmmo,1.0000,0.0000
weapon_usp_silencer,reload_empty,2.1667,ID,WPN_RELOAD_ADD_AMMO,1.0000,0.0000
weapon_usp_silencer,reload_empty,2.1667,Sound,Weapon_USP.Sliderelease,1.4334,0.0000
weapon_usp_silencer,shoot1,0.4000,,,,
weapon_usp_silencer,shoot1,0.4000,Particle,,0.0000,0.0000
weapon_usp_silencer,shoot1,0.4000,Particle,fps_view,0.0000,0.0000
weapon_usp_silencer,shoot1,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.2000
weapon_usp_silencer,shoot1,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_usp_silencer,shoot_empty,0.4000,,,,
weapon_usp_silencer,shoot_empty,0.4000,Particle,,0.0000,0.0000
weapon_usp_silencer,shoot_empty,0.4000,Particle,fps_view,0.0000,0.0000
weapon_usp_silencer,shoot_empty,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.2000
weapon_usp_silencer,shoot_empty,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_usp_silencer,silencer_attach,4.8333,,,,
weapon_usp_silencer,silencer_attach,4.8333,Sound,Weapon_USP.SilencerWeaponMove1,0.0667,0.0000
weapon_usp_silencer,silencer_attach,4.8333,ID,WPN_SHOW_SILENCER,0.4000,3.1000
weapon_usp_silencer,silencer_attach,4.8333,Sound,Weapon_USP.SilencerScrewOnStart,1.0667,0.0000
weapon_usp_silencer,silencer_attach,4.8333,Sound,Weapon_USP.SilencerScrew1,1.8333,0.0000
weapon_usp_silencer,silencer_attach,4.8333,Sound,Weapon_USP.SilencerScrew2,2.3000,0.0000
weapon_usp_silencer,silencer_attach,4.8333,Sound,Weapon_USP.SilencerScrew3,2.6666,0.0000
weapon_usp_silencer,silencer_attach,4.8333,Sound,Weapon_USP.SilencerScrew4,3.0333,0.0000
weapon_usp_silencer,silencer_attach,4.8333,Sound,Weapon_USP.SilencerScrew5,3.3000,0.0000
weapon_usp_silencer,silencer_attach,4.8333,ID,WPN_SILENCER_ATTACH,3.3666,0.0000
weapon_usp_silencer,silencer_attach,4.8333,Sound,Weapon_USP.SilencerWeaponMove3,3.7333,0.0000
weapon_usp_silencer,silencer_detach,4.8333,,,,
weapon_usp_silencer,silencer_detach,4.8333,Sound,Weapon_USP.SilencerWeaponMove1,0.3000,0.0000
weapon_usp_silencer,silencer_detach,4.8333,Sound,Weapon_USP.SilencerScrew1,0.9333,0.0000
weapon_usp_silencer,silencer_detach,4.8333,Sound,Weapon_USP.SilencerScrew2,1.6000,0.0000
weapon_usp_silencer,silencer_detach,4.8333,Sound,Weapon_USP.SilencerScrew3,2.0000,0.0000
weapon_usp_silencer,silencer_detach,4.8333,ID,WPN_SHOW_SILENCER,2.3333,1.6000
weapon_usp_silencer,silencer_detach,4.8333,Sound,Weapon_USP.SilencerScrew4,2.3333,0.0000
weapon_usp_silencer,silencer_detach,4.8333,Sound,Weapon_USP.SilencerScrew5,2.6666,0.0000
weapon_usp_silencer,silencer_detach,4.8333,Sound,Weapon_USP.SilencerScrew1,3.1000,0.0000
weapon_usp_silencer,silencer_detach,4.8333,ID,WPN_SILENCER_DETACH,3.3666,0.0000
weapon_usp_silencer,silencer_detach,4.8333,Sound,Weapon_USP.SilencerWeaponMove3,3.8000,0.0000
weapon_elite,draw,1.0000,,,,
weapon_elite,draw,1.0000,Sound,Weapon_ELITE.Draw,0.0000,0.9667
weapon_elite,draw,1.0000,Sound,Weapon_ELITE.Sliderelease_Q,0.4000,0.0000
weapon_elite,draw,1.0000,Sound,Weapon_ELITE.Sliderelease_Q,0.6333,0.0000
weapon_elite,idle,0.0000,,,,
weapon_elite,idle_leftempty,0.0333,,,,
weapon_elite,idle_leftrightempty,0.0333,,,,
weapon_elite,lookat01,4.6000,,,,
weapon_elite,lookat01,4.6000,ID,WPN_INSPECT_INTRO,0.0000,1.4000
weapon_elite,lookat01,4.6000,Sound,Weapon_ELITE.TauntLook1,0.0667,0.0000
weapon_elite,lookat01,4.6000,Sound,Weapon_ELITE.TauntLook2,0.8333,0.0000
weapon_elite,lookat01,4.6000,ID,WPN_INSPECT_LOOP,1.4000,1.2333
weapon_elite,lookat01,4.6000,ID,WPN_INSPECT_OUTRO,2.6333,1.9667
weapon_elite,lookat01,4.6000,Sound,Weapon_ELITE.TauntStartTap,2.7333,0.0000
weapon_elite,lookat01,4.6000,Sound,Weapon_ELITE.TauntTap1,2.9333,0.0000
weapon_elite,lookat01,4.6000,Sound,Weapon_ELITE.TauntTap2,3.1000,0.0000
weapon_elite,lookat01,4.6000,Sound,Weapon_ELITE.TauntTwirl,3.7667,0.0000
weapon_elite,reload,3.7667,,,,
weapon_elite,reload,3.7667,ID,WPN_RELOAD_SILENT,0.0000,3.3000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.Clipout,0.2667,0.0000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.Clipout,0.3333,0.0000
weapon_elite,reload,3.7667,ID,WPN_DROP_MAG,0.4333,0.0000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.Clipin,1.5000,0.0000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.Clipin.Slide,1.6000,0.0000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.Lclipin,1.6667,0.0000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.Clipin,2.7000,0.0000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.Clipin.Slide,2.7334,0.0000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.Rclipin,2.8000,0.0000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.AddAmmo,2.9334,0.0000
weapon_elite,reload,3.7667,ID,WPN_RELOAD_ADD_AMMO,2.9334,0.0000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.Sliderelease,3.3667,0.0000
weapon_elite,reload,3.7667,Sound,Weapon_ELITE.Sliderelease,3.5334,0.0000
weapon_elite,shoot_left1,0.8333,,,,
weapon_elite,shoot_left1,0.8333,Particle,shell_eject2,0.0000,0.0000
weapon_elite,shoot_left1,0.8333,ID,WPN_BLOCK_INSPECT,0.0000,0.2667
weapon_elite,shoot_left1,0.8333,Particle,alternate_fps,0.0000,0.0000
weapon_elite,shoot_leftlast,0.8333,,,,
weapon_elite,shoot_leftlast,0.8333,Particle,shell_eject2,0.0000,0.0000
weapon_elite,shoot_leftlast,0.8333,ID,WPN_BLOCK_INSPECT,0.0000,0.2667
weapon_elite,shoot_leftlast,0.8333,Particle,alternate_fps,0.0000,0.0000
weapon_elite,shoot_right1,0.8333,,,,
weapon_elite,shoot_right1,0.8333,Particle,shell_eject,0.0000,0.0000
weapon_elite,shoot_right1,0.8333,ID,WPN_BLOCK_INSPECT,0.0000,0.3667
weapon_elite,shoot_right1,0.8333,Particle,primary_fps,0.0000,0.0000
weapon_elite,shoot_rightlast,0.8333,,,,
weapon_elite,shoot_rightlast,0.8333,Particle,shell_eject,0.0000,0.0000
weapon_elite,shoot_rightlast,0.8333,ID,WPN_BLOCK_INSPECT,0.0000,0.3667
weapon_elite,shoot_rightlast,0.8333,Particle,primary_fps,0.0000,0.0000
weapon_elite,ui_keychain,0.0000,,,,
weapon_p250,draw,1.0000,,,,
weapon_p250,draw,1.0000,Sound,Weapon_P250.Draw,0.0000,0.9667
weapon_p250,draw,1.0000,Sound,Weapon_p250.Slideback_Q,0.3333,0.0000
weapon_p250,draw,1.0000,Sound,Weapon_p250.Sliderelease_Q,0.5000,0.0000
weapon_p250,idle,0.0000,,,,
weapon_p250,idle_slide_back,0.0000,,,,
weapon_p250,lookat01,6.4333,,,,
weapon_p250,lookat01,6.4333,ID,WPN_INSPECT_INTRO,0.0000,1.5333
weapon_p250,lookat01,6.4333,ID,WPN_INSPECT_LOOP,1.5333,1.5000
weapon_p250,lookat01,6.4333,ID,WPN_INSPECT_OUTRO,3.0333,3.4000
weapon_p250,reload,2.2667,,,,
weapon_p250,reload,2.2667,ID,WPN_RELOAD_SILENT,0.0000,1.4667
weapon_p250,reload,2.2667,Sound,Weapon_p250.Clipout,0.4000,0.0000
weapon_p250,reload,2.2667,ID,WPN_DROP_MAG,0.4333,0.0000
weapon_p250,reload,2.2667,Sound,Weapon_p250.Clipin,0.8333,0.0000
weapon_p250,reload,2.2667,Sound,Weapon_P250.AddAmmo,0.9333,0.0000
weapon_p250,reload,2.2667,ID,WPN_RELOAD_ADD_AMMO,0.9333,0.0000
weapon_p250,reload,2.2667,Sound,Weapon_p250.Slideback,1.5000,0.0000
weapon_p250,reload,2.2667,Sound,Weapon_p250.Sliderelease,1.6667,0.0000
weapon_p250,reload_empty,2.2667,,,,
weapon_p250,reload_empty,2.2667,ID,WPN_RELOAD_SILENT,0.0000,1.5000
weapon_p250,reload_empty,2.2667,Sound,Weapon_p250.Clipout,0.4667,0.0000
weapon_p250,reload_empty,2.2667,ID,WPN_DROP_MAG,0.5000,0.0000
weapon_p250,reload_empty,2.2667,Sound,Weapon_p250.Clipin,1.1000,0.0000
weapon_p250,reload_empty,2.2667,Sound,Weapon_P250.AddAmmo,1.2000,0.0000
weapon_p250,reload_empty,2.2667,ID,WPN_RELOAD_ADD_AMMO,1.2000,0.0000
weapon_p250,reload_empty,2.2667,Sound,Weapon_p250.Sliderelease,1.5334,0.0000
weapon_p250,shoot1,0.4000,,,,
weapon_p250,shoot1,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_p250,shoot1,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.1333
weapon_p250,shoot1,0.4000,Particle,fps_view,0.0000,0.0000
weapon_p250,shoot_empty,0.4000,,,,
weapon_p250,shoot_empty,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_p250,shoot_empty,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.1333
weapon_p250,shoot_empty,0.4000,Particle,fps_view,0.0000,0.0000
weapon_tec9,draw,1.0000,,,,
weapon_tec9,draw,1.0000,Sound,Weapon_tec9.Draw,0.0000,0.4333
weapon_tec9,draw,1.0000,Sound,Weapon_tec9.Boltpull_Q,0.2667,0.0000
weapon_tec9,draw,1.0000,Sound,Weapon_tec9.Boltrelease_Q,0.4333,0.0000
weapon_tec9,idle,0.0000,,,,
weapon_tec9,lookat01,4.8333,,,,
weapon_tec9,lookat01,4.8333,ID,WPN_INSPECT_INTRO,0.0000,2.7666
weapon_tec9,lookat01,4.8333,Sound,Weapon.WeaponMove1,0.1000,0.0000
weapon_tec9,lookat01,4.8333,Sound,Weapon.WeaponMove2,1.1000,0.0000
weapon_tec9,lookat01,4.8333,ID,WPN_INSPECT_LOOP,2.7666,1.3333
weapon_tec9,lookat01,4.8333,Sound,Weapon.WeaponMove3,3.8666,0.0000
weapon_tec9,lookat01,4.8333,ID,WPN_INSPECT_OUTRO,4.1000,0.7333
weapon_tec9,reload,2.5667,,,,
weapon_tec9,reload,2.5667,ID,WPN_RELOAD_SILENT,0.0000,1.6667
weapon_tec9,reload,2.5667,Sound,Weapon_tec9.Clipout,0.4667,0.0000
weapon_tec9,reload,2.5667,ID,WPN_DROP_MAG,0.5333,0.0000
weapon_tec9,reload,2.5667,Sound,Weapon_tec9.Clipin,1.3000,0.0000
weapon_tec9,reload,2.5667,Sound,Weapon_tec9.AddAmmo,1.4334,0.0000
weapon_tec9,reload,2.5667,ID,WPN_RELOAD_ADD_AMMO,1.4334,0.0000
weapon_tec9,reload,2.5667,Sound,Weapon_tec9.Boltpull,1.8667,0.0000
weapon_tec9,reload,2.5667,Sound,Weapon_tec9.Boltrelease,2.0000,0.0000
weapon_tec9,shoot1,0.4000,,,,
weapon_tec9,shoot1,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_tec9,shoot1,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.2000
weapon_tec9,shoot1,0.4000,Particle,primary_fps,0.0000,0.0000
weapon_tec9,shoot_empty,0.4000,,,,
weapon_tec9,shoot_empty,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_tec9,shoot_empty,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.2000
weapon_tec9,shoot_empty,0.4000,Particle,primary_fps,0.0000,0.0000
weapon_fiveseven,draw,1.0000,,,,
weapon_fiveseven,draw,1.0000,Sound,Weapon_FiveSeven.Draw,0.0000,0.9667
weapon_fiveseven,draw,1.0000,Sound,Weapon_FiveSeven.Slideback_Q,0.2333,0.0000
weapon_fiveseven,draw,1.0000,Sound,Weapon_FiveSeven.Sliderelease_Q,0.4667,0.0000
weapon_fiveseven,idle,0.0000,,,,
weapon_fiveseven,idle_slide_back,0.0000,,,,
weapon_fiveseven,lookat01,6.4333,,,,
weapon_fiveseven,lookat01,6.4333,ID,WPN_INSPECT_INTRO,0.0000,1.5333
weapon_fiveseven,lookat01,6.4333,Sound,Weapon.WeaponMove1,0.0667,0.0000
weapon_fiveseven,lookat01,6.4333,ID,WPN_INSPECT_LOOP,1.5333,1.5000
weapon_fiveseven,lookat01,6.4333,ID,WPN_INSPECT_OUTRO,3.0333,3.4000
weapon_fiveseven,lookat01,6.4333,Sound,Weapon.WeaponMove3,5.8333,0.0000
weapon_fiveseven,reload,2.2667,,,,
weapon_fiveseven,reload,2.2667,ID,WPN_RELOAD_SILENT,0.0000,1.4667
weapon_fiveseven,reload,2.2667,ID,WPN_DROP_MAG,0.4333,0.0000
weapon_fiveseven,reload,2.2667,Sound,Weapon_FiveSeven.Clipout,0.4667,0.0000
weapon_fiveseven,reload,2.2667,Sound,Weapon_FiveSeven.Clipin,0.9000,0.0000
weapon_fiveseven,reload,2.2667,Sound,Weapon_FiveSeven.AddAmmo,0.9667,0.0000
weapon_fiveseven,reload,2.2667,ID,WPN_RELOAD_ADD_AMMO,0.9667,0.0000
weapon_fiveseven,reload,2.2667,Sound,Weapon_FiveSeven.Slideback,1.5000,0.0000
weapon_fiveseven,reload,2.2667,Sound,Weapon_FiveSeven.Sliderelease,1.6667,0.0000
weapon_fiveseven,reload_empty,2.2667,,,,
weapon_fiveseven,reload_empty,2.2667,ID,WPN_RELOAD_SILENT,0.0000,1.6000
weapon_fiveseven,reload_empty,2.2667,Sound,Weapon_FiveSeven.Clipout,0.4667,0.0000
weapon_fiveseven,reload_empty,2.2667,ID,WPN_DROP_MAG,0.5000,0.0000
weapon_fiveseven,reload_empty,2.2667,Sound,Weapon_FiveSeven.Clipin,1.1334,0.0000
weapon_fiveseven,reload_empty,2.2667,Sound,Weapon_FiveSeven.AddAmmo,1.2000,0.0000
weapon_fiveseven,reload_empty,2.2667,ID,WPN_RELOAD_ADD_AMMO,1.2000,0.0000
weapon_fiveseven,reload_empty,2.2667,Sound,Weapon_FiveSeven.Sliderelease,1.6334,0.0000
weapon_fiveseven,reload_empty,2.2667,Sound,Weapon_FiveSeven.Slideback,1.6334,0.0000
weapon_fiveseven,shoot1,0.4000,,,,
weapon_fiveseven,shoot1,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_fiveseven,shoot1,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.2000
weapon_fiveseven,shoot1,0.4000,Particle,fps_view,0.0000,0.0000
weapon_fiveseven,shoot_empty,0.4000,,,,
weapon_fiveseven,shoot_empty,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_fiveseven,shoot_empty,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.2000
weapon_fiveseven,shoot_empty,0.4000,Particle,fps_view,0.0000,0.0000
weapon_cz75a,draw,1.8333,,,,
weapon_cz75a,draw,1.8333,ID,WPN_BLOCK_INSPECT,0.0000,0.7000
weapon_cz75a,draw,1.8333,Sound,Weapon_CZ.Draw,0.0333,0.9666
weapon_cz75a,draw,1.8333,Sound,Weapon_CZ.Clipin_Q,0.5667,0.0000
weapon_cz75a,draw,1.8333,Sound,Weapon_CZ.AddAmmo,0.7000,0.0000
weapon_cz75a,draw,1.8333,Sound,Weapon_CZ.Slideback_Q,1.0666,0.0000
weapon_cz75a,draw,1.8333,Sound,Weapon_CZ.Sliderelease_Q,1.3000,0.0000
weapon_cz75a,draw2,1.8333,,,,
weapon_cz75a,draw2,1.8333,Sound,Weapon_CZ.Draw,0.1000,0.9666
weapon_cz75a,draw2,1.8333,Sound,Weapon_CZ.Slideback_Q,0.8667,0.0000
weapon_cz75a,draw2,1.8333,Sound,Weapon_CZ.Sliderelease_Q,1.0333,0.0000
weapon_cz75a,idle,0.0000,,,,
weapon_cz75a,idle_slide_back,0.0000,,,,
weapon_cz75a,lookat01,6.4333,,,,
weapon_cz75a,lookat01,6.4333,ID,WPN_INSPECT_INTRO,0.0000,1.5333
weapon_cz75a,lookat01,6.4333,ID,WPN_INSPECT_LOOP,1.5333,1.5000
weapon_cz75a,lookat01,6.4333,ID,WPN_INSPECT_OUTRO,3.0333,3.4000
weapon_cz75a,reload,2.7333,,,,
weapon_cz75a,reload,2.7333,ID,WPN_RELOAD_SILENT,0.0000,1.7333
weapon_cz75a,reload,2.7333,ID,WPN_DROP_MAG,0.3000,0.0000
weapon_cz75a,reload,2.7333,Sound,Weapon_CZ.Clipout,0.3667,0.0000
weapon_cz75a,reload,2.7333,Sound,Weapon_CZ.Clipout2,0.7333,0.0000
weapon_cz75a,reload,2.7333,Sound,Weapon_CZ.ClipinSlide,1.3666,0.0000
weapon_cz75a,reload,2.7333,Sound,Weapon_CZ.Clipin,1.4000,0.0000
weapon_cz75a,reload,2.7333,Sound,Weapon_CZ.AddAmmo,1.5666,0.0000
weapon_cz75a,reload,2.7333,ID,WPN_RELOAD_ADD_AMMO,1.5666,0.0000
weapon_cz75a,reload,2.7333,Sound,Weapon_CZ.Slideback,2.0000,0.0000
weapon_cz75a,reload,2.7333,Sound,Weapon_CZ.Sliderelease,2.1666,0.0000
weapon_cz75a,reload2,2.7333,,,,
weapon_cz75a,reload2,2.7333,ID,WPN_RELOAD_SILENT,0.0000,1.4000
weapon_cz75a,reload2,2.7333,Sound,Weapon_CZ.Clipout,0.3667,0.0000
weapon_cz75a,reload2,2.7333,ID,WPN_DROP_MAG,0.4333,0.0000
weapon_cz75a,reload2,2.7333,Sound,Weapon_CZ.Clipin,0.9667,0.0000
weapon_cz75a,reload2,2.7333,Sound,Weapon_CZ.ClipinSlide,1.1333,0.0000
weapon_cz75a,reload2,2.7333,Sound,Weapon_CZ.AddAmmo,1.2333,0.0000
weapon_cz75a,reload2,2.7333,ID,WPN_RELOAD_ADD_AMMO,1.2333,0.0000
weapon_cz75a,reload2,2.7333,Sound,Weapon_CZ.Slideback,1.8666,0.0000
weapon_cz75a,reload2,2.7333,Sound,Weapon_CZ.Sliderelease,2.0333,0.0000
weapon_cz75a,reload2_empty,2.7333,,,,
weapon_cz75a,reload2_empty,2.7333,ID,WPN_RELOAD_SILENT,0.0000,1.9666
weapon_cz75a,reload2_empty,2.7333,ID,WPN_DROP_MAG,0.4667,0.0000
weapon_cz75a,reload2_empty,2.7333,Sound,Weapon_CZ.Clipout,0.5000,0.0000
weapon_cz75a,reload2_empty,2.7333,Sound,Weapon_CZ.Clipin,1.2000,0.0000
weapon_cz75a,reload2_empty,2.7333,Sound,Weapon_CZ.ClipinSlide,1.5666,0.0000
