# CS2 Weapon Spreadsheet, last weapon update 18 March 2026 (Simple tab), supplied by Sid 2026-09-22.
# One row per weapon and mode, values verbatim. A dash means the same as the main row of that weapon. See reference/weapons/README.md.
Category,Weapon,Price,Kill Award,Damage,Bullets,Armor Penetration,Damage Falloff @ 500U,Headshot Multiplier,Fire Rate (RPM),Penetration Power,Magazine Size,Reserve Ammo Type,Reserve Ammunition,Total Ammo,Mobility,Tagging Power,Bullet Range,Hold to Shoot,Tracers,Accurate Range Stand,Accurate Range Crouch,Standing Inaccuracy,Crouching Inaccuracy,Running Inaccuracy,Ladder Inaccuracy,Inaccuracy at Jump Apex,Inaccuracy After Landing,Inaccuracy From Firing,Recovery TimeCrouch,Recovery TimeStand,Recoil Amount,Recoil Angle Variance,Recoil Amount Variance,Recoil Pattern,Fatal Headshot Range,Fatal Headshot Range(Helmet)
Pistols,P250,$300,$300,38,1,64.00%,10%,4.000x,400.00,100%,13,Magazines,3,52,240,50%,"4,096",No,Every Bullet,13.73m,17.26m,11.10,8.83,31.10,278.00,104.06,27.43,52.45,0.287823,0.345388,26.0,10,3,Random,"1,987.04",N/A
Pistols,CZ75 Auto,$500,$300,31,1,77.65%,15%,4.000x,600.00,100%,12,Magazines,2,36,240,50%,"4,096",Yes,Every Bullet,11.35m,14.38m,13.43,10.60,26.84,279.00,106.39,19.80,35.00,0.227500,0.242500,31.0,120,6,Set Pattern,661.80,N/A
Pistols,Tec-9,$500,$300,33,1,90.60%,21%,4.000x,500.00,100%,18,Magazines,3,72,240,50%,"4,096",No,Every Bullet,22.09m,26.83m,6.90,5.68,10.71,243.20,86.68,27.09,45.00,0.315000,0.391000,23.0,60,3,Random,588.90,379.51
Shotguns,Mag-7,"$1,300",$900,30,8,75.00%,55%,4.000x,70.59,100%,5,Magazines,3,20,225,60%,"1,400",No,Every Bullet,3.24m,3.37m,47.00,45.25,62.99,308.52,97.09,58.93,11.19,0.285521,0.399729,165.0,20,25,Random,114.16,N/A
Shotguns,Nova,"$1,050",$900,26,9,50.00%,30%,4.000x,68.18,100%,8,Bullets,32,40,220,60%,"3,000",No,Every Bullet,3.24m,3.37m,47.00,45.25,83.75,197.50,173.31,84.38,9.72,0.328941,0.460517,143.0,20,22,Random,54.98,N/A
Shotguns,Sawed-Off,"$1,100",$900,32,8,75.00%,55%,4.000x,70.59,100%,7,Bullets,32,39,210,60%,"1,400",No,Every Bullet,2.21m,2.27m,69.00,67.25,85.80,134.00,126.70,86.09,9.72,0.328941,0.460517,143.0,20,22,Random,154.58,N/A
Shotguns,XM1014,"$2,000",$600,20,6,80.00%,30%,4.000x,171.43,100%,7,Bullets,32,39,215,60%,"3,000",Yes,Every Bullet,3.39m,3.52m,45.00,43.25,81.03,192.42,175.83,89.22,8.83,0.361835,0.506569,80.0,20,20,Set Pattern,N/A,N/A
SMGs,PP-Bizon,"$1,300",$600,27,1,63.00%,20%,4.000x,750.00,100%,64,Magazines,2,192,240,100%,"3,600",Yes,Every Third,10.16m,13.25m,15.00,11.50,42.57,340.30,48.47,20.71,2.88,0.236837,0.331572,18.0,70,1,Set Pattern,172.45,N/A
SMGs,MAC-10,"$1,050",$600,29,1,57.50%,20%,4.000x,800.00,100%,30,Magazines,3,120,240,100%,"3,600",Yes,Every Third,10.96m,14.40m,13.90,10.58,27.89,69.12,47.20,21.85,4.76,0.285521,0.399729,18.0,70,1,Set Pattern,332.57,N/A
SMGs,MP7,"$1,400",$600,30,1,62.50%,13%,4.000x,750.00,100%,30,Magazines,3,120,220,100%,"3,600",Yes,Every Third,14.38m,16.75m,10.60,9.10,30.46,115.72,70.20,26.95,2.18,0.312494,0.437491,16.0,70,1,Set Pattern,654.60,N/A
SMGs,MP5-SD,"$1,400",$600,28,1,62.50%,13%,4.000x,750.00,100%,30,Magazines,3,120,235,100%,"3,600",Yes,None,14.38m,16.75m,10.60,9.10,40.60,115.72,70.20,26.95,2.18,0.312494,0.437491,16.0,70,1,Set Pattern,406.89,N/A
SMGs,MP9,"$1,250",$600,26,1,60.00%,13%,4.000x,857.14,100%,30,Magazines,2,90,240,100%,"3,600",Yes,Every Third,15.88m,17.72m,9.60,8.60,38.64,298.43,59.60,13.02,3.70,0.184207,0.257890,21.0,70,1,Set Pattern,140.82,N/A
SMGs,P90,"$2,350",$300,26,1,69.00%,14%,4.000x,857.14,100%,50,Magazines,2,150,230,100%,"3,700",Yes,Every Third,10.40m,13.56m,14.65,11.24,45.65,265.34,104.73,29.28,2.85,0.265784,0.372098,16.0,70,1,Set Pattern,130.02,N/A
SMGs,UMP-45,"$1,200",$600,35,1,65.00%,25%,4.000x,666.67,100%,25,Magazines,3,100,230,100%,"3,700",Yes,Every Third,10.56m,13.77m,14.43,11.07,43.19,85.70,51.68,21.47,3.42,0.249995,0.349993,23.0,40,1,Set Pattern,584.80,N/A
Automatic Rifles,AK-47,"$2,700",$300,36,1,77.50%,2%,4.000x,600.00,200%,30,Magazines,3,120,215,60%,"8,192",Yes,Every Third,21.74m,28.17m,7.01,5.41,182.07,280.60,147.77,33.63,7.80,0.305257,0.368000,30.0,70,0,Set Pattern,"9,024.61","2,716.24"
Automatic Rifles,AUG,"$3,300",$300,28,1,90.00%,2%,4.000x,600.00,200%,30,Magazines,3,120,220,60%,"8,192",Yes,Every Third,28.22m,36.46m,5.40,4.18,140.85,220.58,111.39,33.75,7.29,0.305520,0.429727,24.0,60,0,Set Pattern,"2,804.79",197.21
Automatic Rifles,AUG (scoped),-,-,-,-,-,-,-,-,-,-,-,-,,150,-,-,-,Every Third,38.29m,44.69m,3.98,3.41,109.43,200.38,109.97,32.33,-,-,-,16.0,-,-,-,-,-
Automatic Rifles,FAMAS,"$1,950",$300,30,1,70.00%,4%,4.000x,666.67,200%,25,Magazines,4,125,220,60%,"8,192",Yes,Every Third,18.61m,24.98m,8.19,6.10,107.53,238.03,118.58,16.21,6.05,0.120000,0.250000,20.0,60,1,Set Pattern,"2,233.13",N/A
Automatic Rifles,FAMAS (burst),-,-,-,-,-,-,-,800.00,-,-,-,-,,-,-,-,No,Every Third,35.52m,39.58m,4.29,3.85,103.63,238.03,114.68,12.31,3.35,-,-,20.0,50,-,Random,-,-
Automatic Rifles,Galil AR,"$1,800",$300,30,1,77.50%,2%,4.000x,666.67,200%,35,Magazines,4,175,215,60%,"8,192",Yes,Every Third,16.26m,21.23m,9.37,7.18,132.93,227.76,159.15,27.00,7.00,0.150000,0.300000,21.0,70,1,Set Pattern,"4,512.31",N/A
Automatic Rifles,M4A4,"$2,900",$300,33,1,70.00%,3%,4.000x,666.67,200%,30,Magazines,4,150,225,60%,"8,192",Yes,Every Third,27.71m,32.43m,5.50,4.70,143.38,222.59,102.77,21.66,7.00,0.242100,0.338941,23.0,70,0,Set Pattern,"4,557.44",N/A
Automatic Rifles,M4A1-S (no silencer),"$2,900",$300,38,1,70.00%,6%,3.475x,600.00,200%,20,Magazines,3,80,225,60%,"8,192",Yes,Every Third,27.71m,32.43m,5.50,4.70,98.38,222.59,105.20,22.08,12.00,0.242100,0.338941,25.0,65,3,Set Pattern,"2,246.53",N/A
Automatic Rifles,M4A1-S (silencer),-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,None,28.22m,33.13m,5.40,4.60,127.40,227.84,105.10,21.98,7.00,-,-,21.0,-,0,-,-,-
Automatic Rifles,SG 553,"$3,000",$300,30,1,100.00%,2%,4.000x,545.45,200%,30,Magazines,3,120,210,60%,"8,192",Yes,Every Third,23.78m,34.56m,6.41,4.41,142.42,167.92,115.41,36.91,7.95,0.379204,0.452886,28.0,60,2,Set Pattern,"4,512.31","4,512.31"
Automatic Rifles,SG 553 (scoped),-,-,-,-,-,-,-,-,-,-,-,-,,150,-,-,-,Every Third,37.08m,45.49m,4.11,3.35,140.12,277.82,113.11,34.61,-,-,-,19.0,-,-,-,-,-
LMGs,M249,"$5,200",$300,32,1,80.00%,3%,4.000x,750.00,200%,100,Magazines,2,300,195,60%,"8,192",Yes,Every Bullet,15.71m,20.76m,9.70,7.34,165.95,267.62,289.17,168.18,3.56,0.592093,0.828931,25.0,50,2,Set Pattern,"4,052.31",389.32
LMGs,Negev,"$1,700",$300,35,1,71.00%,3%,4.000x,800.00,200%,150,Magazines,2,450,150,60%,"8,192",Yes,Every Bullet,12.52m,15.83m,12.17,9.63,171.31,274.86,304.40,44.44,30.00,0.250000,0.300000,20.0,0,2,Set Pattern,"5,523.33",N/A
Sniper Rifles,AWP,"$4,750",$100,115,1,97.50%,1%,4.000x,41.24,250%,5,Magazines,2,15,200,65%,"8,192",No,Every Bullet,1.88m,2.51m,81.00,60.80,257.48,273.20,214.83,105.61,53.85,0.246710,0.345390,78.0,20,15,Random,"75,920.66","74,661.11"
Sniper Rifles,AWP (scoped),-,-,-,-,-,-,-,-,-,-,-,-,,100,-,-,-,-,69.27m,89.65m,2.20,1.70,178.68,273.20,136.03,20.02,-,-,-,-,-,-,-,-,-
Sniper Rifles,G3SG1,"$5,000",$300,80,1,82.50%,2%,4.000x,240.00,250%,20,Magazines,2,60,215,50%,"8,192",Yes,Every Bullet,5.84m,7.76m,26.10,19.65,176.58,233.08,179.87,83.04,18.61,0.388808,0.544331,30.0,30,4,Set Pattern,"28,787.00","24,025.96"
Sniper Rifles,G3SG1 (scoped),-,-,-,-,-,-,-,-,-,-,-,-,,120,-,-,-,-,66.26m,84.67m,2.30,1.80,152.78,233.08,156.07,59.24,-,-,-,-,-,-,-,-,-
Sniper Rifles,SCAR-20,"$5,000",$300,80,1,82.50%,2%,4.000x,240.00,250%,20,Magazines,2,60,215,65%,"8,192",Yes,Every Bullet,5.84m,7.76m,26.10,19.65,176.58,233.08,179.87,83.04,18.61,0.388808,0.544331,31.0,30,4,Set Pattern,"28,787.00","24,025.96"
Sniper Rifles,SCAR-20 (scoped),-,-,-,-,-,-,.,-,-,-,-,-,,120,-,-,-,-,66.26m,84.67m,2.30,1.80,152.78,233.08,156.07,59.24,-,-,-,-,-,-,-,-,-
Sniper Rifles,SSG 08,"$1,700",$300,88,1,85.00%,2%,4.000x,48.00,250%,10,Magazines,2,30,230,65%,"8,192",No,Every Bullet,4.77m,6.33m,31.98,24.06,155.43,191.26,37.70,32.30,22.92,0.055783,0.142096,33.0,20,15,Random,"31,145.85","27,123.64"
Sniper Rifles,SSG 08 (scoped),-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,47.18m,50.30m,3.23,3.03,126.68,191.21,8.95,3.55,-,-,-,-,-,-,-,-,-
