name,parent,friction,elasticity,density,gamematerial,jumpfactor,maxspeedfactor,climbable,penetration_distance,penetration_damage,smoke_through
brass_bell_large,,0.8,0.25,2000.0,,,,,,,
brass_bell_medium,,0.8,0.25,2000.0,,,,,,,
brass_bell_small,,0.8,0.25,2000.0,,,,,,,
brass_bell_smallest,,0.8,0.25,2000.0,,,,,,,
metal_sand_barrel,solidmetal,0.8,0.1,2700.0,12,,,,0.01,0.01,
blockbullets,,0.8,0.25,2000.0,X,,,,0.01,0.001,
jalopytire,jeeptire,0.8,0.1,2000.0,,,,,,,
slidingrubbertire_jalopyfront,jalopytire,0.15,0.25,2000.0,,,,,,,
slidingrubbertire_jalopyrear,jalopytire,0.15,0.25,2000.0,,,,,,,
jalopy,metal,0.8,0.25,2000.0,,,,,,,
Balloon,default,0.8,0.25,2000.0,,,,,,,
metal_ventslat,metal,0.8,0.25,2000.0,,,,,,,
metal_sheetmetal,metal,0.8,0.25,2000.0,,,,,,,
plasticbottle,plastic,0.8,0.25,2000.0,,,,,,,
concrete_polished,concrete,0.8,0.2,2400.0,,,,,,,
plastic_dumpster,Plastic_Box,0.8,0.01,500.0,,,,,,,
metal_dumpster,metal_barrel,0.8,0.1,2700.0,,,,,,,
Cloth,carpet,0.8,0.01,500.0,,,,,,,
plaster_drywall,plaster,0.8,0.25,2000.0,,,,,,,
Wood_Tree,Wood_Dense,0.8,0.25,2700.0,,,,,,,
beans,mud,0.8,0.25,2000.0,,,,,,,
WeaponHeavy,weapon,0.8,0.95,2000.0,,,,,,,
WeaponPistol,weapon,0.8,0.95,2000.0,,,,,,,
WeaponSMG,weapon,0.8,0.95,2000.0,,,,,,,
WeaponRifle,weapon,0.8,0.95,2000.0,,,,,,,
WeaponC4,weapon,0.8,0.95,900.0,,,,,,,
WeaponShotgun,weapon,0.8,0.95,2000.0,,,,,,,
Defuser,weapon,0.8,0.95,2000.0,,,,,,,
WeaponMolotov,weapon,0.8,0.95,2000.0,,,,,,,
WeaponFlashbang,weapon,0.8,0.95,2000.0,,,,,,,
WeaponSniper,weapon,0.8,0.95,2000.0,,,,,,,
WeaponHEGrenade,weapon,0.8,0.95,2000.0,,,,,,,
WeaponIncendiary,weapon,0.8,0.95,2000.0,,,,,,,
cardboard_smallbox,cardboard,0.8,0.25,500.0,,,,,,,
papertowel,paper,0.8,0.25,2000.0,,,,,,,
potterylarge,glassbottle,0.4,0.3,2000.0,1,,,,0.95,0.6,
plastic_tape,plastic,0.8,0.25,2000.0,,,,,,,
playerflesh,flesh,0.8,0.25,900.0,,,,,,,
fruit,player,0.8,0.25,900.0,F,,,,0.9,,
WeaponMagazine,weapon,0.8,0.95,2000.0,,,,,,,
audioblocker,,0.0,0.0,0.0,X,,,,,,
wet_sand,wet,0.8,0.25,2000.0,,,,,,,
plastic_autoCover,plastic,0.8,0.25,2000.0,,,,,,,
plastic_milkCrate,plastic,0.8,0.25,2000.0,,,,,,,
WeaponKnife,weapon,0.8,0.95,2000.0,,,,,,,
brass_bell_smallest_g,,0.8,0.25,2000.0,,,,,,,
metalrailing,metal,0.8,0.25,2000.0,,,,,,,true
plastic_solid,plastic,0.8,0.25,2000.0,,,,,0.0,,
wet_concrete,wet,0.8,0.25,2000.0,,,,,,,
wet_mud,wet,0.8,0.25,2000.0,,,,,,,
audioblocker_inneredge,audioblocker,0.0,0.0,0.0,,,,,,,
audioblocker_middleedge,audioblocker,0.0,0.0,0.0,,,,,,,
audioblocker_outeredge,audioblocker,0.0,0.0,0.0,,,,,,,
metal_sheet_corrugated,metal,0.8,0.25,2000.0,,,,,,,
